FIPS,City,Year,Population,Primary.Point,Date,MSA,microMSA
1966540,Rhodes,July 01 1993,268,POINT (-93.1836907 41.9278263),7/1/93,,
1943050,La Motte,July 01 2011,268,POINT (-90.6234291 42.2957342),7/1/11,,
1944985,Libertyville,July 01 1991,268,POINT (-92.0501957 40.9582432),7/1/91,,
1946065,Lockridge,July 01 2002,268,POINT (-91.7492245 40.9936662),7/1/02,,
1973155,Silver City,July 01 2007,268,POINT (-95.6378733 41.1113884),7/1/07,,
1963075,Pisgah,April 01 1990,268,POINT (-95.9263861 41.8304354),4/1/90,,
1953895,Moorland,July 01 1995,268,POINT (-94.2954106 42.4413943),7/1/95,,
1932610,Greeley,July 01 2004,268,POINT (-91.341545 42.5850578),7/1/04,,
1919495,Deep River,July 01 2015,268,POINT (-92.3732274 41.5811789),7/1/15,,
1965055,Pulaski,July 01 2014,268,POINT (-92.2737906 40.6928807),7/1/14,,
1943050,La Motte,July 01 2008,268,POINT (-90.6234291 42.2957342),7/1/08,,
1953850,Moorhead,July 01 1999,268,POINT (-95.850715 41.9243406),7/1/99,,
1965010,Protivin,July 01 2018,268,POINT (-92.0891446 43.2164283),7/1/18,,
1966450,Renwick,July 01 1996,268,POINT (-93.9813336 42.8269157),7/1/96,,
1919585,Defiance,July 01 2016,268,POINT (-95.3403538 41.8254177),7/1/16,,
1919765,Deloit,July 01 2011,268,POINT (-95.3174643 42.0971421),7/1/11,,
1946065,Lockridge,April 01 2010,268,POINT (-91.7492245 40.9936662),4/1/10,,
1984450,West Okoboji,July 01 1994,268,POINT (-95.163113 43.348994),7/1/94,,
1987285,Yale,July 01 2006,268,POINT (-94.3572116 41.7753718),7/1/06,,
1919495,Deep River,July 01 2017,268,POINT (-92.3732274 41.5811789),7/1/17,,
1926850,Farmersburg,July 01 2019,268,POINT (-91.3670694 42.9588667),7/1/19,,
1938460,Ionia,July 01 2003,268,POINT (-92.4584186 43.0360537),7/1/03,,
1941610,Kiron,July 01 2002,268,POINT (-95.3272682 42.1941298),7/1/02,,
1947730,Lytton,July 01 2006,268,POINT (-94.8604989 42.4233029),7/1/06,,
1917130,Crawfordsville,July 01 2018,268,POINT (-91.5366275 41.2139194),7/1/18,,
1916590,Corwith,July 01 2014,267,POINT (-93.9580791 42.9890004),7/1/14,,
1973155,Silver City,July 01 2006,267,POINT (-95.6378733 41.1113884),7/1/06,,
1963075,Pisgah,July 01 1995,267,POINT (-95.9263861 41.8304354),7/1/95,,
1975405,Stockport,July 01 1995,267,POINT (-91.8333604 40.8572858),7/1/95,,
1945390,Linden,July 01 2008,267,POINT (-94.2699847 41.6427085),7/1/08,,
1947010,Low Moor,July 01 2012,267,POINT (-90.3542133 41.8023436),7/1/12,,
1903115,Arthur,July 01 1993,267,POINT (-95.3469405 42.3353614),7/1/93,,
1945660,Liscomb,July 01 2007,267,POINT (-93.0061716 42.1910286),7/1/07,,
1984450,West Okoboji,July 01 1995,267,POINT (-95.163113 43.348994),7/1/95,,
1919090,Davis City,July 01 1996,267,POINT (-93.8126017 40.6401518),7/1/96,,
1947055,Luana,July 01 2013,267,POINT (-91.4557178 43.0594516),7/1/13,,
1982380,Washta,July 01 2003,267,POINT (-95.7201752 42.5756045),7/1/03,,
1951420,Meservey,July 01 1996,267,POINT (-93.4733851 42.9156435),7/1/96,,
1903115,Arthur,July 01 1991,267,POINT (-95.3469405 42.3353614),7/1/91,,
1914115,Cleghorn,July 01 1994,267,POINT (-95.7126506 42.812537),7/1/94,,
1931890,Grafton,July 01 2009,267,POINT (-93.0687031 43.3304389),7/1/09,,
1945660,Liscomb,July 01 2008,267,POINT (-93.0061716 42.1910286),7/1/08,,
1919495,Deep River,July 01 2016,267,POINT (-92.3732274 41.5811789),7/1/16,,
1943050,La Motte,July 01 2012,267,POINT (-90.6234291 42.2957342),7/1/12,,
1919090,Davis City,July 01 1995,267,POINT (-93.8126017 40.6401518),7/1/95,,
1947055,Luana,July 01 2012,267,POINT (-91.4557178 43.0594516),7/1/12,,
1912990,Chelsea,April 01 2010,267,POINT (-92.3945142 41.9204989),4/1/10,,
1947055,Luana,July 01 2011,267,POINT (-91.4557178 43.0594516),7/1/11,,
1912990,Chelsea,July 01 2009,267,POINT (-92.3945142 41.9204989),7/1/09,,
1948585,Mallard,July 01 2013,267,POINT (-94.6831596 42.9393896),7/1/13,,
1940665,Kensett,July 01 2007,267,POINT (-93.2106319 43.3534357),7/1/07,,
1903610,Auburn,July 01 2008,267,POINT (-94.8777258 42.2495688),7/1/08,,
1906175,Bertram,July 01 2001,267,POINT (-91.5376397 41.9511334),7/1/01,,
1946065,Lockridge,July 01 2003,267,POINT (-91.7492245 40.9936662),7/1/03,,
1940665,Kensett,July 01 2006,267,POINT (-93.2106319 43.3534357),7/1/06,,
1934860,Harvey,July 01 2009,267,POINT (-92.922688 41.3179424),7/1/09,,
1921540,Dixon,July 01 2002,267,POINT (-90.7823709 41.742124),7/1/02,,
1903115,Arthur,July 01 1994,267,POINT (-95.3469405 42.3353614),7/1/94,,
1945660,Liscomb,July 01 2009,267,POINT (-93.0061716 42.1910286),7/1/09,,
