year,city_name,county,latitude,longitude,city_size,population,radius_mi,crop,ag_tot,crop_tot,crop_prop
2014,Agency,Wapello County,40.99,-92.3,RURAL,642,5,dbl_crop_winwht_sorghum,69767100,0,0
2014,Agency,Wapello County,40.99,-92.3,RURAL,642,5,dbl_crop_barley_corn,69767100,0,0
2014,Agency,Wapello County,40.99,-92.3,RURAL,642,5,dbl_crop_soybeans_oats,69767100,0,0
2014,Agency,Wapello County,40.99,-92.3,RURAL,642,5,dbl_crop_corn_soybeans,69767100,0,0
2014,Agency,Wapello County,40.99,-92.3,RURAL,642,5,cabbage,69767100,0,0
2014,Agency,Wapello County,40.99,-92.3,RURAL,642,5,canola,69767100,NA,NA
2014,Ainsworth,Washington County,41.29,-91.55,RURAL,574,5,corn,96962400,51518700,0.5313265760748497
2014,Ainsworth,Washington County,41.29,-91.55,RURAL,574,5,sorghum,96962400,0,0
2014,Ainsworth,Washington County,41.29,-91.55,RURAL,574,5,soybeans,96962400,43260300,0.4461554169451251
2014,Ainsworth,Washington County,41.29,-91.55,RURAL,574,5,sweet_corn,96962400,12600,1.2994727853270959e-4
2014,Ainsworth,Washington County,41.29,-91.55,RURAL,574,5,pop_or_orn_corn,96962400,0,0
2014,Ainsworth,Washington County,41.29,-91.55,RURAL,574,5,barley,96962400,0,0
2014,Ainsworth,Washington County,41.29,-91.55,RURAL,574,5,durum_wheat,96962400,0,0
2014,Ainsworth,Washington County,41.29,-91.55,RURAL,574,5,spring_wheat,96962400,0,0
2014,Ainsworth,Washington County,41.29,-91.55,RURAL,574,5,winter_wheat,96962400,15300,1.5779312393257594e-4
2014,Ainsworth,Washington County,41.29,-91.55,RURAL,574,5,dbl_crop_winwht_soybeans,96962400,0,0
2014,Ainsworth,Washington County,41.29,-91.55,RURAL,574,5,rye,96962400,9000,9.281948466622113e-5
2014,Ainsworth,Washington County,41.29,-91.55,RURAL,574,5,oats,96962400,144000,0.001485111754659538
2014,Ainsworth,Washington County,41.29,-91.55,RURAL,574,5,millet,96962400,0,0
2014,Ainsworth,Washington County,41.29,-91.55,RURAL,574,5,alfalfa,96962400,806400,0.008316625826093414
2014,Ainsworth,Washington County,41.29,-91.55,RURAL,574,5,other_hay_non_alfalfa,96962400,1196100,0.012335709512140788
2014,Ainsworth,Washington County,41.29,-91.55,RURAL,574,5,dry_beans,96962400,0,0
2014,Ainsworth,Washington County,41.29,-91.55,RURAL,574,5,potatoes,96962400,0,0
2014,Ainsworth,Washington County,41.29,-91.55,RURAL,574,5,other_crops,96962400,0,0
2014,Ainsworth,Washington County,41.29,-91.55,RURAL,574,5,peas,96962400,0,0
2014,Ainsworth,Washington County,41.29,-91.55,RURAL,574,5,sod_grass_seed,96962400,0,0
2014,Ainsworth,Washington County,41.29,-91.55,RURAL,574,5,switchgrass,96962400,0,0
2014,Ainsworth,Washington County,41.29,-91.55,RURAL,574,5,fallow_idle_cropland,96962400,0,0
2014,Ainsworth,Washington County,41.29,-91.55,RURAL,574,5,apples,96962400,0,0
2014,Ainsworth,Washington County,41.29,-91.55,RURAL,574,5,christmas_trees,96962400,0,0
2014,Ainsworth,Washington County,41.29,-91.55,RURAL,574,5,triticale,96962400,0,0
2014,Ainsworth,Washington County,41.29,-91.55,RURAL,574,5,dbl_crop_winwht_corn,96962400,0,0
2014,Ainsworth,Washington County,41.29,-91.55,RURAL,574,5,dbl_crop_oats_corn,96962400,0,0
2014,Ainsworth,Washington County,41.29,-91.55,RURAL,574,5,pumpkins,96962400,0,0
2014,Ainsworth,Washington County,41.29,-91.55,RURAL,574,5,dbl_crop_winwht_sorghum,96962400,0,0
2014,Ainsworth,Washington County,41.29,-91.55,RURAL,574,5,dbl_crop_barley_corn,96962400,0,0
2014,Ainsworth,Washington County,41.29,-91.55,RURAL,574,5,dbl_crop_soybeans_oats,96962400,0,0
2014,Ainsworth,Washington County,41.29,-91.55,RURAL,574,5,dbl_crop_corn_soybeans,96962400,0,0
2014,Ainsworth,Washington County,41.29,-91.55,RURAL,574,5,cabbage,96962400,0,0
2014,Ainsworth,Washington County,41.29,-91.55,RURAL,574,5,canola,96962400,NA,NA
2014,Albert City,Buena Vista County,42.78,-94.94,RURAL,698,5,corn,129797100,72612900,0.559433916474251
2014,Albert City,Buena Vista County,42.78,-94.94,RURAL,698,5,sorghum,129797100,0,0
2014,Albert City,Buena Vista County,42.78,-94.94,RURAL,698,5,soybeans,129797100,56537100,0.4355806100444463
2014,Albert City,Buena Vista County,42.78,-94.94,RURAL,698,5,sweet_corn,129797100,0,0
2014,Albert City,Buena Vista County,42.78,-94.94,RURAL,698,5,pop_or_orn_corn,129797100,30600,2.3575257074310598e-4
2014,Albert City,Buena Vista County,42.78,-94.94,RURAL,698,5,barley,129797100,24300,1.8721527676658414e-4
2014,Albert City,Buena Vista County,42.78,-94.94,RURAL,698,5,durum_wheat,129797100,0,0
2014,Albert City,Buena Vista County,42.78,-94.94,RURAL,698,5,spring_wheat,129797100,0,0
2014,Albert City,Buena Vista County,42.78,-94.94,RURAL,698,5,winter_wheat,129797100,0,0
2014,Albert City,Buena Vista County,42.78,-94.94,RURAL,698,5,dbl_crop_winwht_soybeans,129797100,0,0
2014,Albert City,Buena Vista County,42.78,-94.94,RURAL,698,5,rye,129797100,0,0
2014,Albert City,Buena Vista County,42.78,-94.94,RURAL,698,5,oats,129797100,116100,8.944729889959021e-4
2014,Albert City,Buena Vista County,42.78,-94.94,RURAL,698,5,millet,129797100,0,0
2014,Albert City,Buena Vista County,42.78,-94.94,RURAL,698,5,alfalfa,129797100,410400,0.003161858007613421
2014,Albert City,Buena Vista County,42.78,-94.94,RURAL,698,5,other_hay_non_alfalfa,129797100,52200,4.021661500911808e-4
2014,Albert City,Buena Vista County,42.78,-94.94,RURAL,698,5,dry_beans,129797100,0,0
2014,Albert City,Buena Vista County,42.78,-94.94,RURAL,698,5,potatoes,129797100,0,0
2014,Albert City,Buena Vista County,42.78,-94.94,RURAL,698,5,other_crops,129797100,0,0
2014,Albert City,Buena Vista County,42.78,-94.94,RURAL,698,5,peas,129797100,13500,1.0400848709254676e-4
2014,Albert City,Buena Vista County,42.78,-94.94,RURAL,698,5,sod_grass_seed,129797100,0,0
2014,Albert City,Buena Vista County,42.78,-94.94,RURAL,698,5,switchgrass,129797100,0,0
2014,Albert City,Buena Vista County,42.78,-94.94,RURAL,698,5,fallow_idle_cropland,129797100,0,0
2014,Albert City,Buena Vista County,42.78,-94.94,RURAL,698,5,apples,129797100,0,0
2014,Albert City,Buena Vista County,42.78,-94.94,RURAL,698,5,christmas_trees,129797100,0,0
2014,Albert City,Buena Vista County,42.78,-94.94,RURAL,698,5,triticale,129797100,0,0
2014,Albert City,Buena Vista County,42.78,-94.94,RURAL,698,5,dbl_crop_winwht_corn,129797100,0,0
2014,Albert City,Buena Vista County,42.78,-94.94,RURAL,698,5,dbl_crop_oats_corn,129797100,0,0
2014,Albert City,Buena Vista County,42.78,-94.94,RURAL,698,5,pumpkins,129797100,0,0
2014,Albert City,Buena Vista County,42.78,-94.94,RURAL,698,5,dbl_crop_winwht_sorghum,129797100,0,0
2014,Albert City,Buena Vista County,42.78,-94.94,RURAL,698,5,dbl_crop_barley_corn,129797100,0,0
2014,Albert City,Buena Vista County,42.78,-94.94,RURAL,698,5,dbl_crop_soybeans_oats,129797100,0,0
2014,Albert City,Buena Vista County,42.78,-94.94,RURAL,698,5,dbl_crop_corn_soybeans,129797100,0,0
2014,Albert City,Buena Vista County,42.78,-94.94,RURAL,698,5,cabbage,129797100,0,0
2014,Albert City,Buena Vista County,42.78,-94.94,RURAL,698,5,canola,129797100,NA,NA
2014,Albia,Monroe County,41.02,-92.8,URBAN CLUSTER,3750,5,corn,82960200,23296500,0.2808153789407451
2014,Albia,Monroe County,41.02,-92.8,URBAN CLUSTER,3750,5,sorghum,82960200,0,0
2014,Albia,Monroe County,41.02,-92.8,URBAN CLUSTER,3750,5,soybeans,82960200,24523200,0.29560198745904664
2014,Albia,Monroe County,41.02,-92.8,URBAN CLUSTER,3750,5,sweet_corn,82960200,0,0
2014,Albia,Monroe County,41.02,-92.8,URBAN CLUSTER,3750,5,pop_or_orn_corn,82960200,0,0
2014,Albia,Monroe County,41.02,-92.8,URBAN CLUSTER,3750,5,barley,82960200,0,0
2014,Albia,Monroe County,41.02,-92.8,URBAN CLUSTER,3750,5,durum_wheat,82960200,0,0
2014,Albia,Monroe County,41.02,-92.8,URBAN CLUSTER,3750,5,spring_wheat,82960200,0,0
2014,Albia,Monroe County,41.02,-92.8,URBAN CLUSTER,3750,5,winter_wheat,82960200,38700,4.6648875002712145e-4
2014,Albia,Monroe County,41.02,-92.8,URBAN CLUSTER,3750,5,dbl_crop_winwht_soybeans,82960200,104400,0.0012584347675150252
2014,Albia,Monroe County,41.02,-92.8,URBAN CLUSTER,3750,5,rye,82960200,9900,1.1933433140228689e-4
2014,Albia,Monroe County,41.02,-92.8,URBAN CLUSTER,3750,5,oats,82960200,2292300,0.027631322007420425
2014,Albia,Monroe County,41.02,-92.8,URBAN CLUSTER,3750,5,millet,82960200,0,0
2014,Albia,Monroe County,41.02,-92.8,URBAN CLUSTER,3750,5,alfalfa,82960200,6804000,0.08201523140011717
2014,Albia,Monroe County,41.02,-92.8,URBAN CLUSTER,3750,5,other_hay_non_alfalfa,82960200,25875000,0.3118965479832498
2014,Albia,Monroe County,41.02,-92.8,URBAN CLUSTER,3750,5,dry_beans,82960200,0,0
2014,Albia,Monroe County,41.02,-92.8,URBAN CLUSTER,3750,5,potatoes,82960200,0,0
2014,Albia,Monroe County,41.02,-92.8,URBAN CLUSTER,3750,5,other_crops,82960200,0,0
2014,Albia,Monroe County,41.02,-92.8,URBAN CLUSTER,3750,5,peas,82960200,0,0
2014,Albia,Monroe County,41.02,-92.8,URBAN CLUSTER,3750,5,sod_grass_seed,82960200,0,0
2014,Albia,Monroe County,41.02,-92.8,URBAN CLUSTER,3750,5,switchgrass,82960200,2700,3.254572674607824e-5
