"","FIPS","City","Year","Population","longitude","latitude","Date","MSA","microMSA"
"5188",1922980,"Durant","April 01 2010",1832,-90.9119451,41.6014845,"4/1/10","",""
"5189",1944535,"Leon","July 01 2018",1832,-93.7545236,40.7407471,"7/1/18","",""
"5190",1937515,"Hull","July 01 1997",1832,-96.1336554,43.1894543,"7/1/97","",""
"5191",1915420,"Columbus Junction","July 01 2006",1831,-91.3650803,41.2787342,"7/1/06","",""
"5192",1901495,"Alta","July 01 2006",1831,-95.3045104,42.6716795,"7/1/06","",""
"5193",1953355,"Monroe","July 01 2014",1831,-93.1037482,41.5189365,"7/1/14","",""
"5194",1920035,"Denver","July 01 2017",1830,-92.3346405,42.6688889,"7/1/17","",""
"5195",1903475,"Atkins","July 01 2016",1830,-91.8585601,41.9942458,"7/1/16","",""
"5196",1961590,"Parkersburg","July 01 1991",1830,-92.7787946,42.5740001,"7/1/91","",""
"5197",1953355,"Monroe","April 01 2010",1830,-93.1037482,41.5189365,"4/1/10","",""
"5198",1944535,"Leon","July 01 2008",1828,-93.7545236,40.7407471,"7/1/08","",""
"5199",1901495,"Alta","July 01 2007",1827,-95.3045104,42.6716795,"7/1/07","",""
"5200",1953355,"Monroe","July 01 2015",1827,-93.1037482,41.5189365,"7/1/15","",""
"5201",1933465,"Guttenberg","July 01 2017",1826,-91.1059046,42.7887133,"7/1/17","",""
"5202",1961590,"Parkersburg","July 01 2002",1825,-92.7787946,42.5740001,"7/1/02","",""
"5203",1942465,"Lake City","July 01 1997",1825,-94.7310464,42.2676372,"7/1/97","",""
"5204",1937515,"Hull","July 01 1998",1824,-96.1336554,43.1894543,"7/1/98","",""
"5205",1920035,"Denver","July 01 2016",1824,-92.3346405,42.6688889,"7/1/16","",""
"5206",1937515,"Hull","July 01 1999",1823,-96.1336554,43.1894543,"7/1/99","",""
"5207",1954480,"Mount Ayr","July 01 2002",1823,-94.2376587,40.7141372,"7/1/02","",""
"5208",1944535,"Leon","July 01 2019",1823,-93.7545236,40.7407471,"7/1/19","",""
"5209",1953355,"Monroe","July 01 2013",1822,-93.1037482,41.5189365,"7/1/13","",""
"5210",1954480,"Mount Ayr","April 01 2000",1822,-94.2376587,40.7141372,"4/1/00","",""
"5211",1912270,"Center Point","July 01 1995",1822,-91.7794373,42.1843009,"7/1/95","",""
"5212",1915420,"Columbus Junction","July 01 2005",1821,-91.3650803,41.2787342,"7/1/05","",""
"5213",1911305,"Cascade","July 01 1991",1820,-91.0045814,42.3019211,"7/1/91","",""
"5214",1901495,"Alta","April 01 1990",1820,-95.3045104,42.6716795,"4/1/90","",""
"5215",1920035,"Denver","July 01 2015",1820,-92.3346405,42.6688889,"7/1/15","",""
"5216",1948990,"Manson","July 01 1991",1819,-94.5401543,42.5283851,"7/1/91","",""
"5217",1932790,"Greenfield","July 01 2017",1819,-94.4591514,41.305599,"7/1/17","",""
"5218",1942465,"Lake City","July 01 1998",1818,-94.7310464,42.2676372,"7/1/98","",""
"5219",1953355,"Monroe","July 01 2012",1818,-93.1037482,41.5189365,"7/1/12","",""
"5220",1948990,"Manson","July 01 1992",1818,-94.5401543,42.5283851,"7/1/92","",""
"5221",1953355,"Monroe","July 01 2008",1817,-93.1037482,41.5189365,"7/1/08","",""
"5222",1920035,"Denver",NA,1816.90111,NA,NA,"7/1/20","",""
