"","CITY.NAME","Year","Fiscal.Effort","Fiscal.Capacity","QOLjobs_i14","QOLmed_i14","QOLk12_i14","QOLhousing_i14","QOLgovt_i14","QOLchildsrv_i14","QOLseniorsrv_i14","Proportion of land dedicated to ag","Number of unique crops grown","Shannon's Diversity Index","Shannon's Evenness Index","Simpson's Diveristy Index, Chance","Simpson's Evenness Index","miles50","min50","miles25","min25","miles10","min10","CITY.SIZE","QoL Average"
"19","CALMAR",2016,98.6235843082511,118.42599401481,37.6068,62.2807,72.5,51.1111,59.8039,66.6667,53.3333,0.80787404280666,11,1.21062856448893,0.504871325375321,0.630385415556965,0.245956449597572,66.67,73,69.98,74,56.13,62,"RURAL PLUS",57.6146428571429
"20","CENTER POINT",2016,94.114619789997,126.871560717824,37.037,66.6667,84.8485,65.873,62.6667,54.023,39.6825,0.699625891561244,13,1.17510546981155,0.458139832817021,0.657265403778059,0.224439195141143,18.09,21,17.76,26,36.63,40,"RURAL PLUS",58.6853428571429
"21","CHARITON",2016,119.619099938928,69.2171465467863,37.5887,54.717,60.8333,44.4444,50.7937,53.3333,51.7544,0.632041845627417,8,1.14961149946964,0.552846269744592,0.617531012834271,0.326823884274402,64.48,68,49.66,58,35.68,42,"URBAN CLUSTER",50.4949714285714
"22","CHEROKEE",2016,102.073346716767,85.7811552658155,44.6429,71.6418,67.1875,46.8927,66.6667,50.8772,55.5556,0.807791123026956,11,1.17541519207586,0.490186208467786,0.664206617296957,0.270729250759197,54.77,64,91.75,94,21.33,27,"URBAN CLUSTER",57.6377714285714
"23","CLARENCE",2016,70.4824330888475,107.594918896831,22.6667,73.1183,62.5,52.1212,61.4815,31.5789,53.7037,0.939024244667009,8,0.856839847320876,0.412052866188628,0.523247419388978,0.262190505271719,36.62,39,35.53,40,33.71,46,"RURAL PLUS",51.0243285714286
"24","CLARINDA",2016,131.289106088814,57.1488558777484,44.2177,61.1111,76,46.6667,64.3275,61.2613,56.1905,0.805827052017621,13,1.19396503349771,0.465492634396237,0.667717658014537,0.231499141553668,76.43,81,121.29,125,100.74,111,"MICROPOLITAN",58.5392571428571
"25","COLO",2016,85.1649996173629,100.20155572121,18.0952,33.3333,76.2963,56.8182,71.1111,55.0725,60,0.8888700007933,8,0.92404181636327,0.444370182013773,0.541212435247474,0.272457253865253,19.93,25,23.52,28,32.05,34,"RURAL PLUS",52.9609428571429
"26","COLUMBUS JUNCTION",2016,83.5439136527385,68.7842583424086,31.0078,62.585,42.9487,34.058,59.0278,43.3333,50,0.657502336548361,13,1.15321897630676,0.449606918340121,0.654085463595513,0.222375959457016,36.12,42,41.08,51,24.51,32,"RURAL PLUS",46.1372285714286
"27","CORNING",2016,140.509377168107,88.774700920957,34.6667,75.5556,66.0606,38.5621,64.1975,60.5263,47.7273,0.759567519094277,11,1.21282469467067,0.505787182796891,0.667284877595977,0.27323402150233,75.12,80,93.47,96,84.5,87,"RURAL PLUS",55.3280142857143
"28","CORRECTIONVILLE",2016,99.4238773390912,78.0058487286546,22.963,66.6667,75.641,40.7407,60.9756,48.4848,50,0.782608695652174,10,1.17628807998016,0.510855422263954,0.665979706455529,0.299383007358162,33.09,39,85.56,85,36.77,43,"RURAL PLUS",52.2102571428571
